الوقت,التصنيف,الفعالية,ملاحظات,اسم_الموقع,رابط_الموقع
٣:٠٠ فجرًا,gather,التجمع وصعود الباصات,,,
٣:٢٠ فجرًا,move,التحرك إلى مقر الإمارة بمشعر (عرفة),,,
٤:١٢ فجرًا,prayer,صلاة الفجر بمقر الإمارة بمشعر (عرفة),,,
١٢:١٨ ظهرًا,prayer,خطبة يوم عرفة وصلاة الظهر والعصر,,مسجد نمرة,
١:٢٠ ظهرًا,meal,تناول وجبة الغداء بمقر الإمارة بمشعر (عرفة),,,
٦:١٠ مساءً,gather,صعود الباصات والاستعداد للتوجه إلى مشعر (مزدلفة),,,
٧:٠٥ مساءً,move,التحرك إلى مشعر (مزدلفة),,,
٧:٢٠ مساءً,prayer,صلاة المغرب والعشاء,,,
٨:٣٠ مساءً,meal,تناول طعام العشاء,,,
١١:٤٠ مساءً,gather,صعود الباصات والاستعداد,,,
١٢:٠٠ مساءً,move,التحرك إلى مشعر (منى) لرمي الجمرة الأولى,,,
